source,target,weight
N1,N2,4
N2,N3,1
N3,N4,2
N4,N5,4
N5,N6,4
N6,N7,5
N7,N8,4
N8,N9,2
N9,N10,4
N10,N11,3
N11,N12,2
N12,N13,2
N13,N14,1
N14,N15,3
N15,N16,4
N16,N17,2
N17,N18,3
N18,N19,2
N19,N20,2
N20,N21,1
N21,N22,3
N22,N23,4
N23,N24,5
N24,N25,4
N25,N26,5
N26,N27,4
N27,N28,3
N28,N29,5
N29,N30,2
N30,N31,1
N31,N32,2
N32,N33,5
N33,N34,2
N34,N35,1
N35,N36,4
N36,N37,3
N37,N38,1
N38,N39,1
N39,N40,3
N40,N41,4
N41,N42,3
N42,N43,5
N43,N44,2
N44,N45,2
N45,N46,2
N46,N47,5
N47,N48,5
N48,N49,4
N49,N50,5
N1,N9,4
N1,N39,1
N1,N5,4
N2,N30,2
N2,N38,4
N2,N49,4
N3,N1,5
N3,N6,5
N3,N48,1
N4,N29,2
N4,N38,3
N4,N29,2
N5,N23,4
N5,N30,3
N5,N9,1
N6,N39,1
N6,N13,5
N6,N17,5
N7,N2,3
N7,N8,2
N7,N2,4
N8,N29,1
N8,N50,4
N9,N12,2
N9,N25,4
N9,N14,3
N10,N41,1
N10,N42,2
N10,N28,3
N11,N10,1
N11,N22,4
N11,N32,4
N12,N45,2
N12,N2,5
N12,N9,1
N13,N25,4
N13,N37,5
N13,N35,5
N14,N9,4
N14,N8,2
N14,N38,5
N15,N33,3
N15,N30,1
N15,N10,5
N16,N17,2
N16,N2,3
N16,N20,5
N17,N1,1
N17,N6,5
N17,N25,2
N18,N39,3
N18,N42,3
N18,N25,5
N19,N47,5
N19,N17,2
N19,N10,3
N20,N9,3
N20,N38,1
N20,N30,1
N21,N26,3
N21,N14,5
N21,N37,4
N22,N42,4
N22,N42,2
N22,N4,5
N23,N25,4
N23,N44,3
N24,N11,4
N24,N7,5
N24,N7,2
N25,N20,3
N25,N22,1
N25,N4,2
N26,N31,1
N26,N11,1
N26,N27,5
N27,N16,4
N27,N36,3
N28,N47,5
N28,N22,1
N28,N33,1
N29,N8,1
N29,N37,5
N29,N4,1
N30,N36,1
N30,N39,2
N30,N2,5
N31,N18,3
N31,N49,1
N31,N14,4
N32,N17,5
N32,N47,5
N33,N29,2
N33,N25,2
N33,N47,1
N34,N17,4
N34,N4,3
N34,N45,1
N35,N22,4
N35,N17,1
N35,N45,1
N36,N10,3
N36,N23,2
N36,N29,5
N37,N10,5
N37,N19,3
N37,N6,2
N38,N6,5
N38,N34,5
N38,N13,1
N39,N10,5
N39,N43,5
N39,N7,5
N40,N29,1
N40,N13,5
N40,N44,3
N41,N32,5
N41,N10,5
N41,N40,2
N42,N9,5
N42,N12,3
N42,N37,1
N43,N10,1
N43,N26,4
N43,N45,5
N44,N34,3
N44,N11,4
N44,N5,4
N45,N48,2
N45,N39,3
N46,N49,5
N46,N50,2
N46,N42,4
N47,N2,4
N47,N3,3
N47,N25,2
N48,N17,4
N48,N24,5
N48,N39,1
N49,N34,4
N49,N21,3
N49,N19,2
N50,N16,2
N50,N48,1
N50,N29,5
